This function calculates N(6, 3, p).

Parameters: #simulations = 100.
p from 0.05 to 0.35 step 0.01.

p, N(p), SD, size.
0.19, 35.33, 6.24829, 95
0.2, 32.34, 4.74809, 95
0.21, 30.31, 4.24192, 95
0.22, 27.34, 4.63513, 95
0.23, 25.27, 4.01461, 95
0.24, 23.75, 3.78253, 95
0.25, 22.15, 3.29659, 95
0.26, 20.91, 3.64443, 95
0.27, 20.26, 3.52312, 95
0.28, 19.08, 3.61021, 95
0.29, 17.41, 2.66869, 95
0.3, 17.05, 2.8892, 95
0.31, 15.78, 2.43549, 95
0.32, 15.23, 2.31022, 95
0.33, 14.17, 1.94964, 95
0.34, 13.97, 2.26916, 95

Processor time: 7.901.

p, N(p), SD, size.

0.05, 10.24, 5.60914, 100
0.06, 21.85, 47.8699, 100
0.07, 56.64, 101.858, 100
0.08, 174.39, 138.39, 100
0.09, 232.19, 73.3504, 100
0.1, 180.34, 34.3477, 100
0.11, 131.24, 23.4726, 100
0.12, 100.67, 17.538, 100
0.13, 82.17, 14.157, 100
0.14, 69.48, 12.1429, 100
0.15, 58.45, 10.1807, 100
0.16, 50.82, 7.44094, 100
0.17, 44.86, 6.60911, 100
0.18, 39.73, 5.50973, 100
0.19, 35.46, 4.8092, 100
0.2, 33.08, 5.43264, 100
0.21, 30.07, 5.0956, 100
0.22, 27.82, 4.36436, 100
0.23, 25.64, 3.88206, 100
0.24, 23.52, 2.96473, 100
0.25, 22.61, 3.19342, 100
0.26, 20.93, 2.99084, 100
0.27, 19.24, 2.5889, 100
0.28, 18.45, 2.85788, 100
0.29, 16.95, 2.35106, 100
0.3, 16.58, 2.56585, 100
0.31, 15.62, 2.26177, 100
0.32, 15.11, 2.16285, 100
0.33, 14.66, 2.60469, 100
0.34, 13.38, 1.87499, 100

Processor time: 8.775.

p, N(p), SD, size.

0.05, 11.47, 6.6535, 105
0.06, 17.56, 11.1699, 105
0.07, 74.7, 119.773, 105
0.08, 185.79, 143.523, 105
0.09, 231.74, 69.4724, 105
0.1, 184.75, 37.8466, 105
0.11, 131.27, 22.8258, 105
0.12, 101.32, 16.2769, 105
0.13, 83.91, 14.5335, 105
0.14, 70.43, 10.3954, 105
0.15, 59.12, 9.77577, 105
0.16, 51.95, 8.81745, 105
0.17, 44.95, 7.65817, 105
0.18, 39.97, 6.59159, 105
0.19, 36.11, 5.11448, 105
0.2, 32.84, 4.56666, 105
0.21, 30.69, 4.9693, 105
0.22, 27.66, 3.58112, 105
0.23, 25.89, 4.0172, 105
0.24, 23.7, 3.22955, 105
0.25, 22.86, 3.33772, 105
0.26, 20.85, 2.60528, 105
0.27, 20.21, 2.64309, 105
0.28, 19.18, 2.99125, 105
0.29, 17.72, 2.70954, 105
0.3, 16.51, 2.64384, 105
0.31, 16.11, 2.54517, 105
0.32, 14.97, 2.25147, 105
0.33, 14.11, 1.92299, 105
0.34, 13.87, 2.11969, 105

Processor time: 9.755.

p, N(p), SD, size.

0.05, 11.81, 5.56542, 110
0.06, 19.95, 21.9478, 110
0.07, 102.08, 145.882, 110
0.08, 221.51, 149.448, 110
0.09, 246.25, 70.7194, 110
0.1, 183.46, 43.6079, 110
0.11, 133.67, 23.1582, 110
0.12, 104.49, 17.8978, 110
0.13, 81.39, 15.2446, 110
0.14, 68.18, 9.87763, 110
0.15, 59.33, 10.6029, 110
0.16, 52.11, 7.54042, 110
0.17, 45.45, 7.80945, 110
0.18, 40.01, 5.46899, 110
0.19, 36.84, 5.74233, 110
0.2, 32.98, 5.18455, 110
0.21, 31.01, 5.03089, 110
0.22, 28.46, 4.45515, 110
0.23, 25.87, 4.14646, 110
0.24, 24.32, 4.0568, 110
0.25, 22.36, 2.96486, 110
0.26, 21.31, 3.31872, 110
0.27, 20.72, 3.34389, 110
0.28, 19.05, 2.77263, 110
0.29, 17.95, 2.73267, 110
0.3, 17.07, 2.68795, 110
0.31, 16.07, 2.56225, 110
0.32, 15.11, 2.33621, 110
