p, N(p), SD, #percolation, size
0.1,190.343,24.6555,10000,180
0.105,161.444,19.8861,10000,180
0.11,139.823,16.645,10000,180
0.115,122.532,14.3324,10000,180
0.12,109.006,12.6197,10000,180
0.125,97.6276,11.1186,10000,180
0.13,88.3374,9.96452,10000,180
0.135,80.477,9.14956,10000,180
0.14,74.0369,8.527,10000,180
0.145,68.3315,7.69487,10000,180
0.05,30.5703,73.248,34,185
0.055,71.1477,200.474,299,185
0.06,201.911,369.647,1474,185
0.065,486.474,462.941,4677,185
0.07,699.4,305.757,8415,185
0.075,625.243,133.876,9910,185
0.08,466.799,80.4064,9999,185
0.085,356.2,55.542,10000,185
0.09,280.527,40.603,10000,185
0.095,229.312,31.0056,10000,185
0.1,190.189,24.0815,10000,185
0.105,161.967,19.8689,10000,185
0.11,140.031,16.3723,10000,185
0.115,122.643,14.0567,10000,185
0.12,108.96,12.4231,10000,185
0.125,97.7968,11.0997,10000,185
0.13,88.5866,10.0411,10000,185
0.135,80.8487,9.29662,10000,185
0.14,74.2482,8.38302,10000,185
0.145,68.4753,7.73386,10000,185
0.05, 31.6246, 79.7514, 35, 190
0.055, 72.7735, 204.847, 300, 190
0.06, 215.795, 388.01, 1558, 190
0.065, 507.018, 473.993, 4780, 190
0.07, 727.3, 294.266, 8665, 190
0.075, 628.312, 133.915, 9920, 190
0.08, 469.201, 80.8581, 10000, 190
0.085, 357.123, 55.5006, 10000, 190
0.09, 281.635, 40.1503, 10000, 190
0.095, 229.107, 30.5426, 10000, 190
0.1, 190.74, 24.0778, 10000, 190
0.105, 161.704, 19.6214, 10000, 190
0.11, 140.447, 16.5658, 10000, 190
0.115, 123.007, 14.1896, 10000, 190
0.12, 109.005, 12.2505, 10000, 190
0.125, 97.9724, 11.0433, 10000, 190
0.13, 88.6207, 9.90377, 10000, 190
0.135, 80.8364, 8.98129, 10000, 190
0.14, 74.1373, 8.25853, 10000, 190
0.145, 68.5702, 7.76884, 10000, 190
0.05, 33.776, 93.5893, 49, 195
0.055, 80.1374, 224.534, 347, 195
0.06, 230.064, 405.598, 1648, 195
0.065, 543.389, 484.299, 5071, 195
0.07, 749.144, 291.282, 8785, 195
