This function calculates N(6, 3, p).

Parameters: #simulations = 1000.
p from 0 to 0.15 step 0.001.

p, N(p), SD, size.
0.068, 1021.11, 411.364, 425
0.069, 1012.55, 324.045, 425
0.07, 967.521, 268.449, 425
0.071, 933.161, 235.601, 425
0.072, 877.917, 199.918, 425
0.073, 810.425, 180.651, 425
0.074, 765.855, 159.712, 425
0.075, 698.487, 145.641, 425
0.076, 664.075, 130.705, 425
0.077, 611.227, 116.195, 425
0.078, 576.185, 108.286, 425
0.079, 539.757, 96.3201, 425
0.08, 511.551, 93.9064, 425
0.081, 471.872, 80.3151, 425
0.082, 450.294, 80.9289, 425
0.083, 422.278, 72.4862, 425
0.084, 398.77, 65.2768, 425
0.085, 381.509, 60.6645, 425
0.086, 358.089, 58.1944, 425
0.087, 347.444, 53.3382, 425
0.088, 328.411, 51.58, 425
0.089, 310.712, 45.3284, 425
0.09, 299.113, 45.9957, 425
0.091, 284.109, 41.6058, 425
0.092, 273.148, 38.7523, 425
0.093, 260.872, 38.0008, 425
0.094, 248.666, 33.4715, 425
0.095, 240.577, 34.3141, 425
0.096, 230.292, 31.0975, 425
0.097, 224.433, 32.0934, 425
0.098, 214.435, 28.177, 425
0.099, 205.723, 28.09, 425
0.1, 199.53, 26.4738, 425
0.101, 192.535, 25.9506, 425
0.102, 185.648, 24.596, 425
0.103, 179.563, 23.509, 425
0.104, 173.799, 22.3009, 425
0.105, 169.023, 22.6778, 425
0.106, 163.247, 20.485, 425
0.107, 158.394, 19.8137, 425
0.108, 152.971, 18.606, 425
0.109, 148.579, 18.0139, 425
0.11, 145.089, 17.9801, 425
0.111, 141.271, 17.6248, 425
0.112, 136.716, 16.7291, 425
0.113, 134.676, 16.3155, 425
0.114, 130.156, 15.7289, 425
0.115, 126.433, 15.8248, 425
0.116, 123.606, 14.2222, 425
0.117, 120.795, 14.0502, 425
0.118, 117.147, 14.3401, 425
0.119, 114.644, 13.7972, 425
0.12, 112.295, 13.6538, 425
0.121, 109.273, 12.7078, 425
0.122, 107.868, 13.2941, 425
0.123, 104.833, 12.493, 425
0.124, 102.709, 11.4654, 425
0.125, 100.705, 11.4042, 425
0.126, 98.805, 11.6021, 425
0.127, 95.68, 10.3211, 425
0.128, 94.23, 10.8851, 425
0.129, 92.229, 10.6507, 425
0.13, 90.437, 9.9891, 425
0.131, 89.095, 10.0443, 425
0.132, 87.118, 9.87097, 425
0.133, 85.473, 9.16969, 425
0.134, 84.477, 9.62276, 425
0.135, 82.279, 9.07542, 425
0.136, 81.303, 9.23186, 425
0.137, 79.491, 9.15346, 425
0.138, 78.311, 8.67273, 425
0.139, 76.994, 8.9147, 425
0.14, 75.711, 8.17897, 425
0.141, 74.132, 7.89155, 425
0.142, 72.875, 8.06705, 425
0.143, 71.746, 7.95283, 425
0.144, 70.91, 8.14039, 425
0.145, 69.689, 7.77614, 425
0.146, 68.809, 7.48295, 425
0.147, 67.559, 7.44463, 425
0.148, 66.388, 7.11825, 425
0.149, 65.454, 7.02566, 425
0, 0, 0, 430
0.001, 0.004, 0.0893532, 430
0.002, 0.052, 0.295459, 430
0.003, 0.179, 0.589032, 430
0.004, 0.37, 0.762299, 430
0.005, 0.678, 0.961414, 430
0.006, 1.058, 1.11832, 430
0.007, 1.441, 1.22659, 430
0.008, 1.841, 1.26638, 430
0.009, 2.102, 1.12053, 430
0.01, 2.481, 1.28672, 430
0.011, 2.89, 1.58679, 430
0.012, 2.982, 1.43864, 430
0.013, 3.288, 1.57704, 430
0.014, 3.742, 1.82248, 430
0.015, 4.099, 1.93835, 430
0.016, 4.458, 1.98046, 430
0.017, 4.87, 1.96497, 430
0.018, 5.337, 2.04192, 430
